Movie_Name,Genre,Duration,Ratings,Voting_counts
Mahavatar Narsimha,Animation,2h 10m,9.1,34K
The Wild Robot,Animation,1h 42m,8.2,195K
Spermageddon,Animation,1h 20m,5.4,2.1K
Flow,Animation,1h 25m,7.9,93K
Moana 2,Animation,1h 40m,6.5,115K
The Lord of the Rings: The War of the Rohirrim,Animation,2h 14m,6.3,35K
Mufasa: The Lion King,Animation,1h 58m,6.6,75K
Inside Out 2,Animation,1h 36m,7.5,230K
Transformers One,Animation,1h 44m,7.6,58K
IF,Animation,1h 44m,6.4,61K
Despicable Me 4,Animation,1h 34m,6.2,71K
Kung Fu Panda 4,Animation,1h 34m,6.3,73K
Memoir of a Snail,Animation,1h 35m,7.8,21K
Attack on Titan the Movie: The Last Attack,Animation,2h 25m,9.2,20K
Solo Leveling: ReAwakening,Animation,2h 1m,8.8,15K
The Garfield Movie,Animation,1h 41m,5.7,26K
Night of the Zoopocalypse,Animation,1h 31m,6.0,1.1K
Wallace & Gromit: Vengeance Most Fowl,Animation,1h 22m,7.5,38K
Harold and the Purple Crayon,Animation,1h 30m,5.7,9.2K
Watchmen: Chapter I,Animation,1h 23m,7.1,7.5K
Megamind vs. The Doom Syndicate,Animation,1h 23m,2.5,5.9K
Look Back,Animation,58m,7.8,17K
Spellbound,Animation,1h 49m,5.5,8.3K
The Remarkable Life of Ibelin,Animation,1h 43m,8.2,14K
Sanatorium Under the Sign of the Hourglass,Animation,1h 15m,5.5,153
Dan Da Dan: First Encounter,Animation,1h 23m,8.2,3.3K
The Day the Earth Blew Up: A Looney Tunes Movie,Animation,1h 31m,6.8,7.3K
Boys Go to Jupiter,Animation,1h 30m,7.0,205
Orion and the Dark,Animation,1h 33m,6.3,18K
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Animation,1h 44m,7.2,9.3K
Justice League: Crisis on Infinite Earths - Part One,Animation,1h 33m,6.2,9.2K
Doraemon the Movie: Nobita's Earth Symphony,Animation,1h 55m,6.6,1.7K
The Glassworker,Animation,1h 38m,7.1,2.1K
Watchmen: Chapter II,Animation,1h 30m,7.1,3.9K
Haikyu!! The Dumpster Battle,Animation,1h 25m,7.7,6.9K
Justice League: Crisis on Infinite Earths - Part Three,Animation,1h 34m,6.1,5.1K
That Christmas,Animation,1h 31m,6.8,17K
