Movie_Name,Genre,Duration,Ratings,Voting_counts
A Complete Unknown,Biography,2h 21m,7.3,101K
I'm Still Here,Biography,2h 17m,8.2,119K
Better Man,Biography,2h 15m,7.5,39K
The Apprentice,Biography,2h 2m,7.1,63K
William Tell,Biography,2h 14m,5.7,4.9K
Saturday Night,Biography,1h 49m,6.9,35K
Queer,Biography,2h 17m,6.4,25K
Maria,Biography,2h 4m,6.4,22K
Nr. 24,Biography,1h 51m,7.5,17K
Bob Marley: One Love,Biography,1h 47m,6.2,36K
Unfrosted,Biography,1h 37m,5.5,36K
Young Woman and the Sea,Biography,2h 9m,7.5,18K
Little Bites,Biography,1h 45m,4.7,1.4K
Joy,Biography,1h 55m,7.1,11K
Reagan,Biography,2h 21m,6.1,12K
Queen of the Ring,Biography,2h 9m,6.3,2.4K
Ordinary Angels,Biography,1h 58m,7.4,17K
Scoop,Biography,1h 42m,6.5,21K
Back to Black,Biography,2h 2m,6.3,28K
Amaran,Biography,2h 47m,8.1,21K
The Remarkable Life of Ibelin,Biography,1h 43m,8.2,14K
Bonhoeffer: Pastor. Spy. Assassin.,Biography,2h 13m,6.2,4.1K
Cabrini,Biography,2h 22m,7.3,9.3K
El 47,Biography,1h 50m,7.2,4.2K
Shirley,Biography,1h 57m,6.2,3.5K
Monsieur Aznavour,Biography,2h 13m,7.3,3.2K
Race for Glory: Audi vs. Lancia,Biography,1h 49m,5.8,5.4K
Audrey's Children,Biography,1h 50m,7.1,493
Winner,Biography,1h 43m,6.5,2.9K
One to One: John & Yoko,Biography,1h 41m,7.3,806
Faith of Angels,Biography,1h 38m,6.1,330
Being Maria,Biography,1h 40m,6.1,946
Rob Peace,Biography,2h,6.6,2.4K
Super/Man: The Christopher Reeve Story,Biography,1h 44m,8.0,11K
Niki,Biography,1h 38m,6.0,534
Piece by Piece,Biography,1h 33m,6.9,6.8K
Pavements,Biography,2h 8m,7.1,766
Boléro,Biography,2h,6.5,976
The Flood,Biography,1h 41m,6.4,390
Sabbath Queen,Biography,1h 45m,7.9,72
Music by John Williams,Biography,1h 45m,8.2,5.3K
"From Hilde, with Love",Biography,2h 5m,6.9,1.3K
Never Look Away,Biography,1h 25m,7.1,311
Chandu Champion,Biography,2h 22m,7.8,35K
Midas Man,Biography,1h 52m,6.4,1.9K
Prodigieuses,Biography,1h 41m,6.6,294
Marco,Biography,1h 41m,6.8,1.5K
The Great Lillian Hall,Biography,1h 50m,7.3,2.2K
Liza: A Truly Terrific Absolutely True Story,Biography,1h 44m,7.5,582
Riefenstahl,Biography,1h 55m,7.1,985
Stelios,Biography,2h 12m,7.3,1.6K
Ataturk II: 1881-1919,Biography,2h 21m,8.8,2.5K
A Photographic Memory,Biography,1h 27m,7.5,44
Maidaan,Biography,3h 1m,7.9,23K
Amar Singh Chamkila,Biography,2h 25m,7.8,17K
McVeigh,Biography,1h 30m,4.5,624
Saint-Exupéry,Biography,1h 38m,5.4,707
The Bibi Files,Biography,1h 55m,7.5,1.5K
Maharaj,Biography,2h 11m,6.5,15K
The Fire Inside,Biography,1h 49m,6.7,3.3K
Nedelja,Biography,2h 10m,7.2,1.9K
The Firing Squad,Biography,1h 33m,5.0,5.1K
Avicii - I'm Tim,Biography,1h 35m,7.7,7.7K
