Movie_Name,Genre,Ratings,Duration,Voting_counts
Sketch,Adventure,6.9,93.0,2500.0
Dune: Part Two,Adventure,8.5,166.0,662000.0
Freaky Tales,Adventure,6.3,107.0,12000.0
Gladiator II,Adventure,6.5,148.0,271000.0
Deadpool & Wolverine,Adventure,7.5,128.0,525000.0
The Wild Robot,Adventure,8.2,102.0,195000.0
Furiosa: A Mad Max Saga,Adventure,7.5,148.0,300000.0
Kraven the Hunter,Adventure,5.5,127.0,71000.0
Twisters,Adventure,6.5,122.0,182000.0
Flow,Adventure,7.9,85.0,93000.0
Sonic the Hedgehog 3,Adventure,6.9,110.0,71000.0
Kingdom of the Planet of the Apes,Adventure,6.8,145.0,159000.0
Venom: The Last Dance,Adventure,6.0,110.0,139000.0
The Count of Monte-Cristo,Adventure,7.6,178.0,40000.0
Moana 2,Adventure,6.5,100.0,115000.0
The Lord of the Rings: The War of the Rohirrim,Adventure,6.3,134.0,35000.0
The Unholy Trinity,Adventure,5.5,95.0,3200.0
The Return,Adventure,6.2,116.0,12000.0
Mufasa: The Lion King,Adventure,6.6,118.0,75000.0
Inside Out 2,Adventure,7.5,96.0,230000.0
Transformers One,Adventure,7.6,104.0,58000.0
Borderlands,Adventure,4.7,101.0,53000.0
Ghostbusters: Frozen Empire,Adventure,6.1,115.0,98000.0
Godzilla x Kong: The New Empire,Adventure,6.0,115.0,127000.0
Damsel,Adventure,6.1,110.0,113000.0
Despicable Me 4,Adventure,6.2,94.0,71000.0
Bad Boys: Ride or Die,Adventure,6.5,115.0,106000.0
Red One,Adventure,6.3,123.0,145000.0
Paddington in Peru,Adventure,6.6,106.0,29000.0
Please Don't Feed the Children,Adventure,4.7,94.0,875.0
Kung Fu Panda 4,Adventure,6.3,94.0,73000.0
Spaceman,Adventure,5.7,107.0,45000.0
The Courier,Adventure,6.0,101.0,4900.0
Manjummel Boys,Adventure,8.2,135.0,30000.0
Attack on Titan the Movie: The Last Attack,Adventure,9.2,145.0,20000.0
River of Blood,Adventure,4.8,86.0,2500.0
Monster Summer,Adventure,5.7,97.0,5400.0
Atlas,Adventure,5.6,118.0,58000.0
Arthur the King,Adventure,7.0,107.0,36000.0
Solo Leveling: ReAwakening,Adventure,8.8,121.0,15000.0
Uglies,Adventure,4.7,100.0,35000.0
The Garfield Movie,Adventure,5.7,101.0,26000.0
Night of the Zoopocalypse,Adventure,6.0,91.0,1100.0
Devara Part 1,Adventure,6.0,176.0,22000.0
Wallace & Gromit: Vengeance Most Fowl,Adventure,7.5,82.0,38000.0
Escape from the 21st Century,Adventure,6.4,98.0,1200.0
Kalki 2898 AD,Adventure,7.0,180.0,70000.0
Descendants: The Rise of Red,Adventure,4.7,95.0,7600.0
Rebel Moon - Part Two: The Scargiver,Adventure,5.3,122.0,61000.0
Harold and the Purple Crayon,Adventure,5.7,90.0,9200.0
Megamind vs. The Doom Syndicate,Adventure,2.5,83.0,5900.0
Spellbound,Adventure,5.5,109.0,8300.0
Survive,Adventure,4.6,90.0,3800.0
My Penguin Friend,Adventure,6.8,97.0,6200.0
The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,6.8,91.0,7300.0
Orion and the Dark,Adventure,6.3,93.0,18000.0
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Adventure,7.2,104.0,9300.0
The Goat Life,Adventure,7.1,173.0,49000.0
No Way Up,Adventure,4.6,90.0,11000.0
Justice League: Crisis on Infinite Earths - Part One,Adventure,6.2,93.0,9200.0
Sasquatch Sunset,Adventure,5.4,88.0,5800.0
Doraemon the Movie: Nobita's Earth Symphony,Adventure,6.6,115.0,1700.0
Family Pack,Adventure,5.5,94.0,10000.0
Lost on a Mountain in Maine,Adventure,6.1,98.0,2200.0
Justice League: Crisis on Infinite Earths - Part Three,Adventure,6.1,94.0,5100.0
Bookworm,Adventure,6.0,103.0,2300.0
Escape,Adventure,6.4,94.0,2400.0
Winner,Adventure,6.5,103.0,2900.0
That Christmas,Adventure,6.8,91.0,17000.0
The Traveller,Adventure,5.2,134.0,249.0
Ultraman: Rising,Adventure,6.9,117.0,6900.0
Kalvan,Adventure,5.6,142.0,1000.0
Justice League: Crisis on Infinite Earths - Part Two,Adventure,5.6,94.0,5900.0
Sunlight,Adventure,6.4,96.0,216.0
Badland Hunters,Adventure,5.9,107.0,13000.0
Something in the Water,Adventure,4.1,86.0,5400.0
The Best Christmas Pageant Ever,Adventure,6.8,99.0,6400.0
