Movie_Name,Genre,Duration,Ratings,Voting_counts
Sketch,Family,1h 33m,6.9,2.5K
The Wild Robot,Family,1h 42m,8.2,195K
Flow,Family,1h 25m,7.9,93K
Sonic the Hedgehog 3,Family,1h 50m,6.9,71K
Moana 2,Family,1h 40m,6.5,115K
Mufasa: The Lion King,Family,1h 58m,6.6,75K
Inside Out 2,Family,1h 36m,7.5,230K
Transformers One,Family,1h 44m,7.6,58K
IF,Family,1h 44m,6.4,61K
Despicable Me 4,Family,1h 34m,6.2,71K
Paddington in Peru,Family,1h 46m,6.6,29K
Kung Fu Panda 4,Family,1h 34m,6.3,73K
Young Hearts,Family,1h 39m,7.9,6.6K
How to Make Millions Before Grandma Dies,Family,2h 5m,7.9,19K
The Garfield Movie,Family,1h 41m,5.7,26K
Night of the Zoopocalypse,Family,1h 31m,6.0,1.1K
Wallace & Gromit: Vengeance Most Fowl,Family,1h 22m,7.5,38K
Descendants: The Rise of Red,Family,1h 35m,4.7,7.6K
Harold and the Purple Crayon,Family,1h 30m,5.7,9.2K
Megamind vs. The Doom Syndicate,Family,1h 23m,2.5,5.9K
Spellbound,Family,1h 49m,5.5,8.3K
My Penguin Friend,Family,1h 37m,6.8,6.2K
Unsung Hero,Family,1h 53m,7.0,5.4K
Girl Haunts Boy,Family,1h 40m,6.3,3.6K
The Day the Earth Blew Up: A Looney Tunes Movie,Family,1h 31m,6.8,7.3K
Orion and the Dark,Family,1h 33m,6.3,18K
The Forge,Family,2h 4m,6.7,5.4K
Bibi Rajni,Family,2h 23m,8.4,756
Doraemon the Movie: Nobita's Earth Symphony,Family,1h 55m,6.6,1.7K
Meiyazhagan,Family,2h 57m,8.4,18K
The Groomsmen: First Look,Family,1h 22m,6.1,438
You Gotta Believe,Family,1h 44m,5.8,1.5K
That Christmas,Family,1h 31m,6.8,17K
Faith of Angels,Family,1h 38m,6.1,330
The Thundermans Return,Family,1h 10m,5.0,2K
Ultraman: Rising,Family,1h 57m,6.9,6.9K
Woodwalkers,Family,1h 43m,5.1,826
Piece by Piece,Family,1h 33m,6.9,6.8K
10 Lives,Family,1h 28m,5.9,2.2K
The Tiger's Apprentice,Family,1h 24m,5.8,2.3K
Crayon Shin-chan: Our Dinosaur Diary,Family,1h 46m,6.6,679
Hitpig,Family,1h 26m,5.2,1.2K
Gharat Ganpati,Family,2h 19m,7.8,555
Buffalo Kids,Family,1h 33m,6.6,847
Woody Woodpecker Goes to Camp,Family,1h 40m,4.5,2.7K
Saving Bikini Bottom: The Sandy Cheeks Movie,Family,1h 22m,3.7,4.2K
Robin and the Hoods,Family,1h 40m,4.3,559
200% Wolf,Family,1h 38m,5.9,1.4K
Bambi: A Tale of Life in the Woods,Family,1h 18m,5.6,319
And the Breadwinner Is...,Family,2h 3m,5.8,525
Cup,Family,2h 26m,8.7,91
2nd Miracle in Cell No. 7,Family,2h 27m,7.2,388
A Brother and 7 Siblings,Family,2h 9m,8.1,1.9K
A Sudden Case of Christmas,Family,1h 31m,5.1,1.2K
Aamar Boss,Family,2h 19m,7.9,587
Panda Plan,Family,1h 39m,5.1,1.7K
Runt,Family,1h 31m,6.4,621
A Sloth Story,Family,1h 30m,5.6,300
Autumn and the Black Jaguar,Family,1h 40m,5.7,1.1K
Thelma the Unicorn,Family,1h 33m,5.7,3.1K
The Night Before Christmas in Wonderland,Family,1h 20m,6.3,536
My Oni Girl,Family,1h 52m,6.0,2K
The Storm,Family,1h 42m,6.1,149
Miracle Mile,Family,1h 22m,7.0,50
Ghost Cat Anzu,Family,1h 37m,6.5,936
Sunny,Family,2h 2m,7.6,40
Dog Days,Family,2h,6.7,342
Rally Caps,Family,1h 40m,5.5,152
Chuck Billy and the Marvelous Guava Tree,Family,1h 30m,7.4,1.3K
Diplodocus,Family,1h 33m,6.2,222
Kvitebjørn,Family,1h 25m,5.8,99
Daye: Seret ahl el Daye,Family,1h 44m,7.7,21
Super-Charlie,Family,1h 22m,5.7,237
Jait Re Jait,Family,N/A,8.3,190
Big World,Family,2h 11m,7.3,1.6K
Der Buchspazierer,Family,1h 38m,7.2,910
A Carpenter's Prayer,Family,1h 31m,5.4,146
Believe in Christmas,Family,1h 30m,6.1,892
Rebellious,Family,1h 34m,6.1,251
Fear,Family,1h 55m,7.9,2.9K
Noah's Ark,Family,1h 36m,4.2,720
Juliette in Spring,Family,1h 35m,6.4,350
Ryan's World the Movie: Titan Universe Adventure,Family,1h 20m,1.8,773
No Time to Spy: A Loud House Movie,Family,1h 21m,6.4,531
Disaster Holiday,Family,1h 33m,4.9,796
School of Magical Animals 3,Family,1h 45m,5.7,392
Man and Witch: The Dance of a Thousand Steps,Family,1h 34m,5.6,371
Kardes Takimi,Family,1h 35m,3.5,620
Average Joe,Family,1h 40m,4.4,622
Return to Wickensburg,Family,1h 28m,4.6,98
The Lost Tiger,Family,1h 30m,7.3,67
Savages,Family,1h 27m,6.8,513
My Freaky Family,Family,1h 26m,6.1,440
Brother,Family,2h 20m,6.1,2.4K
Dalia and the Red Book,Family,1h 47m,5.9,183
Storm Crashers,Family,1h 28m,6.1,610
The Casagrandes Movie,Family,1h 29m,5.6,720
Véletlenül írtam egy könyvet,Family,1h 38m,7.3,907
Home Sweet Loan,Family,1h 52m,8.0,1.1K
The Legend of Catclaws Mountain,Family,1h 44m,3.3,192
Gracie and Pedro: Pets to the Rescue,Family,1h 27m,5.0,308
Ghudchadi,Family,1h 53m,4.1,583
Bila Esok Ibu Tiada,Family,1h 44m,6.7,393
Father There is Only One 4,Family,1h 30m,5.2,725
Big City Greens the Movie: Spacecation,Family,1h 23m,6.2,629
Panda Bear in Africa,Family,1h 24m,5.5,397
The Magician's Raincoat,Family,N/A,5.1,138
Marry Christmas,Family,1h 25m,6.3,70
DeAr,Family,2h 12m,5.2,2K
Victoria må dø,Family,1h 25m,5.9,410
Brewster's Millions: Christmas,Family,1h 40m,5.6,202
Guest from the Future,Family,2h 21m,6.0,1.3K
Dongeng Sang Kancil,Family,1h 39m,6.6,236
Obraz,Family,1h 35m,7.4,32
Dance,Family,N/A,3.7,70
The Primrose Railway Children,Family,1h 21m,5.0,155
The Big Trip 3: Race Around the World,Family,1h 25m,5.5,87
Chhota Bheem and the Curse of Damyaan,Family,2h 25m,4.8,2.3K
