Movie_Name,Genre,Duration,Ratings,Voting_counts
Nosferatu,Mystery,2h 12m,7.2,230K
The Watchers,Mystery,1h 42m,5.7,61K
Longlegs,Mystery,1h 41m,6.6,202K
Blink Twice,Mystery,1h 42m,6.5,116K
Juror #2,Mystery,1h 54m,7.0,112K
Smile 2,Mystery,2h 7m,6.7,122K
Trap,Mystery,1h 45m,5.8,150K
It's What's Inside,Mystery,1h 43m,6.6,46K
Caddo Lake,Mystery,1h 43m,6.8,48K
A Sacrifice,Mystery,1h 34m,5.0,6.4K
Love Lies Bleeding,Mystery,1h 44m,6.6,60K
Red One,Mystery,2h 3m,6.3,145K
Paddington in Peru,Mystery,1h 46m,6.6,29K
Force of Nature: The Dry 2,Mystery,2h,5.9,8.2K
Sleeping Dogs,Mystery,1h 50m,6.2,24K
Witchboard,Mystery,1h 52m,5.7,504
The Deliverance,Mystery,1h 52m,5.1,24K
Night Swim,Mystery,1h 38m,4.7,29K
Slingshot,Mystery,1h 48m,5.7,11K
The Rule of Jenny Pen,Mystery,1h 44m,6.2,7.8K
Cuckoo,Mystery,1h 42m,5.7,31K
I Saw the TV Glow,Mystery,1h 40m,5.8,40K
F*** Marry Kill,Mystery,1h 37m,5.4,4.2K
The Instigators,Mystery,1h 41m,6.2,40K
Dirty Boy,Mystery,1h 38m,7.4,53
Monster Summer,Mystery,1h 37m,5.7,5.4K
The Damned,Mystery,1h 29m,5.7,6.5K
Hellboy: The Crooked Man,Mystery,1h 39m,4.5,15K
Time Cut,Mystery,1h 31m,5.0,21K
Exhuma,Mystery,2h 14m,6.9,26K
Blackwater Lane,Mystery,1h 48m,4.6,2.6K
Outbreak,Mystery,1h 28m,4.4,1.5K
Hidden Face,Mystery,1h 55m,6.1,754
Absolution,Mystery,1h 52m,5.2,9.6K
Within the Pines,Mystery,1h 13m,6.4,23
Watchmen: Chapter I,Mystery,1h 23m,7.1,7.5K
Boneyard,Mystery,1h 36m,4.1,5.5K
Long Gone Heroes,Mystery,1h 41m,5.1,1.6K
Colors of Evil: Red,Mystery,1h 51m,6.4,8.9K
Skincare,Mystery,1h 36m,5.7,5.3K
Killer Heat,Mystery,1h 35m,5.6,14K
Kishkindha Kaandam,Mystery,2h 13m,8.0,14K
Turtles All the Way Down,Mystery,1h 51m,6.6,7.9K
Afraid,Mystery,1h 24m,5.2,15K
Dan Da Dan: First Encounter,Mystery,1h 23m,8.2,3.3K
Orion and the Dark,Mystery,1h 33m,6.3,18K
Imaginary,Mystery,1h 44m,4.7,18K
Sookshma Darshini,Mystery,2h 22m,7.8,12K
Ghost Train,Mystery,1h 34m,4.9,143
Mr. K,Mystery,1h 34m,5.4,1.4K
Watchmen: Chapter II,Mystery,1h 30m,7.1,3.9K
Die Alone,Mystery,1h 30m,5.8,4.3K
Karma,Mystery,2h 47m,7.9,1.5K
The Ruse,Mystery,1h 45m,7.1,586
Damaged,Mystery,1h 37m,4.7,7.9K
Saint Clare,Mystery,1h 32m,4.5,735
Do Patti,Mystery,2h 6m,6.3,70K
Hunting Daze,Mystery,1h 19m,5.4,631
The Girl in the Pool,Mystery,1h 29m,4.3,1.7K
Depravity,Mystery,1h 57m,4.3,1.3K
Badland Hunters,Mystery,1h 47m,5.9,13K
Triumph,Mystery,1h 38m,5.2,342
Brief History of a Family,Mystery,1h 40m,6.8,624
The Best Christmas Pageant Ever,Mystery,1h 39m,6.8,6.4K
Handling the Undead,Mystery,1h 37m,5.3,4.7K
Bougainvillea,Mystery,2h 18m,6.4,3.5K
Drugstore June,Mystery,1h 31m,5.4,1.9K
Anweshippin Kandethum,Mystery,2h 22m,7.4,11K
Wynonna Earp: Vengeance,Mystery,1h 36m,5.6,1.8K
Pedro Páramo,Mystery,2h 10m,6.3,3.3K
Cult Killer,Mystery,1h 45m,4.8,3.1K
The Soul Eater,Mystery,1h 48m,5.8,3.3K
She's Got No Name,Mystery,1h 34m,5.4,366
Golam,Mystery,2h,7.2,6.4K
Revolver,Mystery,1h 54m,5.5,1K
Kryptic,Mystery,1h 42m,4.0,691
Mononoke the Movie: The Phantom in the Rain,Mystery,1h 29m,6.7,1.6K
Classified,Mystery,1h 45m,3.7,3K
The Tiger's Apprentice,Mystery,1h 24m,5.8,2.3K
Vina: Before 7 Days,Mystery,1h 40m,5.4,680
Reunion,Mystery,1h 30m,5.6,3.8K
The Image of You,Mystery,1h 30m,4.6,948
Black,Mystery,1h 55m,7.1,3K
Thalavan,Mystery,2h 11m,7.2,5.8K
The Ugly,Mystery,1h 42m,N/A,N/A
Detained,Mystery,1h 37m,4.9,2K
The Great Lillian Hall,Mystery,1h 50m,7.3,2.2K
City Hunter,Mystery,1h 42m,6.3,5.9K
Believer,Mystery,1h 48m,4.7,501
To Kill a Wolf,Mystery,1h 32m,8.7,92
Bloodline Killer,Mystery,1h 45m,4.3,5.4K
American Star,Mystery,1h 47m,5.5,2.6K
A Strange House,Mystery,1h 50m,5.2,417
Inheritance,Mystery,1h 34m,5.1,3.8K
Merry Christmas,Mystery,2h 24m,6.9,30K
Following,Mystery,1h 42m,6.5,1.5K
Sikandar Ka Muqaddar,Mystery,2h 22m,6.0,25K
Abraham Ozler,Mystery,2h 23m,6.6,4.7K
Heresy,Mystery,1h 1m,6.8,344
Murder Mubarak,Mystery,2h 20m,5.8,51K
Detective Conan: The Million-Dollar Pentagram,Mystery,1h 51m,6.7,1.7K
Campton Manor,Mystery,1h 23m,3.4,268
Gazer,Mystery,1h 54m,5.6,359
Crescent City,Mystery,1h 43m,3.9,1.5K
Arcadia,Mystery,1h 39m,6.9,559
The Sand Castle,Mystery,1h 38m,4.7,1.8K
Unknown Caller,Mystery,1h 3m,7.3,35
Dancing Village: The Curse Begins,Mystery,2h 2m,5.7,4.3K
Rippy,Mystery,1h 23m,4.2,1.1K
Serpent's Path,Mystery,1h 52m,5.8,329
The Lost Daughter,Mystery,1h 39m,5.6,349
Salawahan,Mystery,1h 56m,4.4,498
Sam and Colby: The Legends of the Paranormal,Mystery,1h 38m,4.8,321
Solvent,Mystery,1h 34m,7.2,462
My Husband Hired a Hitman,Mystery,1h 32m,4.6,96
Hunting Matthew Nichols,Mystery,1h 36m,8.2,56
Guess Who,Mystery,1h 33m,4.8,379
At Her Feet,Mystery,1h 40m,7.6,76
Karma's a Bitch,Mystery,1h 29m,4.7,50
Midnight Express,Mystery,1h 4m,8.4,7
The Fall of 2008,Mystery,1h 1m,5.8,12
The Price of Money: A Largo Winch Adventure,Mystery,1h 40m,5.1,1.4K
